epoch,train_loss,lr,steps_per_sec,elapsed_sec,i2t@1,i2t@10,i2t@5,t2i@1,t2i@10,t2i@5
0,0.8140379353003069,2e-06,2.187850329903575,5.027766227722168,0.751,0.972,0.917,0.5816,0.9082,0.835
1,0.7805587432601235,4.2000000000000004e-06,2.272419255640852,4.840656042098999,0.755,0.973,0.92,0.5856,0.9112,0.8386
2,0.7468127933415499,6.4000000000000006e-06,2.2189859266158254,4.957219362258911,0.764,0.972,0.923,0.5934,0.9152,0.845
3,0.6980379115451466,8.6e-06,2.2323600621825967,4.927520513534546,0.764,0.972,0.928,0.6004,0.921,0.8538
4,0.72538438168439,1.08e-05,2.3693159718652437,4.642690181732178,0.771,0.971,0.931,0.609,0.9252,0.8616
5,0.7116017937660217,1.3000000000000001e-05,2.3257154960950026,4.729727268218994,0.769,0.973,0.934,0.617,0.9324,0.8712
6,0.6476503285494718,1.52e-05,2.2627363736831456,4.86137056350708,0.771,0.973,0.935,0.6262,0.9374,0.874
7,0.6744197065179999,1.7400000000000003e-05,2.2336382630027596,4.924700736999512,0.777,0.973,0.94,0.6324,0.9396,0.877
8,0.6173141381957314,1.96e-05,2.319818981354802,4.741749286651611,0.782,0.976,0.942,0.6346,0.9414,0.8822
9,0.6163086782802235,2.18e-05,2.321249662911399,4.738826751708984,0.774,0.978,0.942,0.6392,0.9434,0.8844
10,0.6078945019028403,2.4e-05,2.2555687988086937,4.876818656921387,0.775,0.978,0.944,0.6426,0.9448,0.8888
11,0.5645157369700345,2.62e-05,2.3358951352563166,4.709115505218506,0.783,0.98,0.943,0.6452,0.947,0.8908
12,0.5813419981436296,2.8400000000000003e-05,2.323138227833926,4.734974384307861,0.792,0.981,0.943,0.647,0.9482,0.8898
13,0.5470710830254988,3.0600000000000005e-05,2.253707975806073,4.880845308303833,0.791,0.981,0.943,0.6494,0.9484,0.8902
14,0.5336554213003679,3.2800000000000004e-05,2.3471355971591006,4.686563491821289,0.786,0.98,0.946,0.6506,0.9484,0.8924
15,0.5624772093512795,3.5000000000000004e-05,2.2147949619778844,4.966599702835083,0.791,0.979,0.945,0.6524,0.9498,0.8952
16,0.572487389499491,3.72e-05,2.286480142778933,4.810888051986694,0.792,0.979,0.945,0.6546,0.9502,0.8968
17,0.4980919523672624,3.94e-05,2.2948892550223365,4.793259620666504,0.788,0.979,0.947,0.6552,0.9508,0.8966
18,0.5016742186112837,4.160000000000001e-05,2.2481318332840705,4.892951488494873,0.789,0.979,0.946,0.656,0.9504,0.8974
19,0.48313091830773786,4.38e-05,2.2808952163947174,4.822667837142944,0.781,0.981,0.947,0.6572,0.9518,0.8966
20,,,,,0.781,0.981,0.947,0.6572,0.9518,0.8966
