epoch,train_loss,lr,steps_per_sec,elapsed_sec,i2t@1,i2t@10,i2t@5,t2i@1,t2i@10,t2i@5
0,0.5668327614017155,4.4e-07,4.3757936566975975,5.256189346313477,0.769,0.973,0.934,0.5808,0.9104,0.8326
1,0.5039748523546301,9.000000000000001e-07,5.191531800415349,4.430291652679443,0.778,0.974,0.939,0.6166,0.9292,0.8632
2,0.40003153422604437,1.3600000000000001e-06,5.218866124974404,4.407087564468384,0.785,0.972,0.945,0.6362,0.9384,0.8792
3,0.35596872930941376,1.8200000000000002e-06,4.756357608661621,4.835633039474487,0.795,0.981,0.948,0.6488,0.9474,0.89
4,0.3520382241062496,2.28e-06,5.146761158496985,4.468829870223999,0.798,0.977,0.953,0.6572,0.9516,0.8962
5,0.33294101901676343,2.7400000000000004e-06,5.052198231958287,4.552473783493042,0.798,0.982,0.953,0.6644,0.9562,0.8988
6,0.29661568027475604,3.2000000000000003e-06,5.062797928592339,4.542942523956299,0.799,0.982,0.953,0.6684,0.9572,0.9034
7,0.2915906141633573,3.6600000000000005e-06,5.094373744843193,4.514784574508667,0.809,0.985,0.958,0.675,0.9572,0.906
8,0.2792273108725962,4.12e-06,4.9533303805760465,4.643340587615967,0.801,0.98,0.96,0.6738,0.958,0.9124
9,0.27350824423458264,4.580000000000001e-06,5.041430466361492,4.562197208404541,0.802,0.982,0.956,0.6808,0.9596,0.9144
10,0.2580870202054148,5.04e-06,4.945118555163458,4.65105128288269,0.81,0.988,0.959,0.683,0.9602,0.9108
11,0.23517012336979742,5.500000000000001e-06,5.044503264189049,4.559418201446533,0.804,0.989,0.965,0.682,0.9612,0.9132
12,0.2544970739146937,5.9600000000000005e-06,5.069805385653725,4.536663293838501,0.813,0.99,0.962,0.685,0.9606,0.9148
13,0.22349362172510312,6.42e-06,4.850274772168695,4.741999387741089,0.809,0.989,0.963,0.6816,0.9608,0.9154
14,0.20857292996800464,6.880000000000001e-06,4.808257669480393,4.783437490463257,0.805,0.987,0.967,0.6848,0.9588,0.9158
15,0.208711555470591,7.34e-06,4.840846634635553,4.751235008239746,0.799,0.988,0.964,0.684,0.9572,0.9158
16,0.19583191949388254,7.8e-06,4.912616787901321,4.6818225383758545,0.799,0.987,0.961,0.6848,0.957,0.9152
17,0.17577865752189056,8.26e-06,4.868191198024564,4.724547386169434,0.792,0.988,0.96,0.6828,0.9554,0.9116
18,0.17288521482892658,8.72e-06,4.909217058463295,4.685064792633057,0.809,0.993,0.971,0.6854,0.9552,0.9118
19,0.17185900975828586,9.18e-06,5.0465563419088895,4.557563304901123,0.799,0.989,0.969,0.6744,0.958,0.9092
20,,,,,0.799,0.989,0.969,0.6744,0.958,0.9092
